path	pass	disposition	before_body_words	after_body_words	reason
knowledge/applications/finding-and-location-coding.md	1	edited	1495	1150	Shortened and cross-reviewed in the first pass; examples, citations, and qualifications preserved.
knowledge/applications/finding-model-forge.md	1	edited	1450	1044	Shortened and cross-reviewed in the first pass; examples, citations, and qualifications preserved.
knowledge/applications/finding-models-site.md	1	edited	618	379	Shortened and cross-reviewed in the first pass; examples, citations, and qualifications preserved.
knowledge/applications/imaging-problem-list-viewer.md	1	edited	1240	899	Shortened and cross-reviewed in the first pass; examples, citations, and qualifications preserved.
knowledge/applications/index.md	1,2	edited			Descriptions shortened in the first pass; reviewed again and still match their concepts.
knowledge/applications/ipl-mvp-extraction.md	1	edited	1048	840	Shortened and cross-reviewed in the first pass; examples, citations, and qualifications preserved.
knowledge/applications/report-extraction-platform.md	1	edited	1948	1426	Shortened and cross-reviewed in the first pass; examples, citations, and qualifications preserved.
knowledge/applications/reporting-sdk.md	1	edited	886	582	Shortened and cross-reviewed in the first pass; examples, citations, and qualifications preserved.
knowledge/data-structures/anatomic-location-assignment-rules.md	2	edited	1128	1105	Tightened description and migration introduction only; source guidance and structure unchanged.
knowledge/data-structures/exam-finding-list.md	1	edited	1275	991	Shortened and cross-reviewed in the first pass; examples, citations, and qualifications preserved.
knowledge/data-structures/fhir-mapping.md	2	edited	1217	1033	Tightened authored prose and description; preserved facts, qualifications, citations, tables, examples, links, and headings.
knowledge/data-structures/hierarchy.md	1	edited	999	880	Shortened and cross-reviewed in the first pass; examples, citations, and qualifications preserved.
knowledge/data-structures/ihe-idr-alignment.md	2	edited	1105	988	Tightened authored prose and description; preserved facts, qualifications, citations, tables, examples, links, and headings.
knowledge/data-structures/imaging-persona.md	1	edited	693	456	Shortened and cross-reviewed in the first pass; examples, citations, and qualifications preserved.
knowledge/data-structures/imaging-problem-list.md	1	edited	1391	1122	Shortened and cross-reviewed in the first pass; examples, citations, and qualifications preserved.
knowledge/data-structures/index.md	2	edited			Reviewed navigation, synchronized descriptions, and simplified introductory prose or directory labels.
knowledge/data-structures/observation.md	1	edited	1308	1062	Shortened and cross-reviewed in the first pass; examples, citations, and qualifications preserved.
knowledge/data-structures/sample-data.md	2	edited	992	885	Tightened authored prose and description; preserved facts, qualifications, citations, tables, examples, links, and headings.
knowledge/data-structures/technical-imaging-findings.md	2	edited	1203	1185	Tightened description and migration introduction only; source guidance and structure unchanged.
knowledge/glossary/anatomic-location.md	2	edited	340	337	Removed rhetorical setup around source quotations and shortened lineage comparison.
knowledge/glossary/anatomic-scope.md	2	edited	324	307	Shortened scope-family relationship and missing-field limitation without changing open status.
knowledge/glossary/assessment-scheme.md	2	edited	297	278	Removed repeated separation framing; retained assessment distinctions and source quotations.
knowledge/glossary/attribute-value.md	2	edited	258	243	Shortened positional-code explanation and repetitive presence cross-reference.
knowledge/glossary/attribute.md	2	edited	310	292	Tightened attribute-kind introduction and unresolved naming discussion. Tightened its description and matching index entry.
knowledge/glossary/body-region.md	2	edited	371	355	Shortened three-use explanation and removed rhetorical fallback introduction. Tightened its description and matching index entry.
knowledge/glossary/cde-element.md	2	edited	290	270	Condensed property definition and clarified component/set/value relationship.
knowledge/glossary/cde-labeled-fhir-observation.md	2	edited	310	296	Removed emphatic sample framing and shortened source attribution and open conflict wording.
knowledge/glossary/cde-set.md	2	edited	308	301	Replaced false range with named examples and shortened parent-code explanation.
knowledge/glossary/cde.md	2	edited	298	269	Removed confusion framing and shortened staging and site-post introductions.
knowledge/glossary/change-from-prior.md	2	edited	340	282	Removed repeated snapshot and attribute framing; shortened missing-attribute caveat while retaining all 124-model and value-set details.
knowledge/glossary/coding.md	2	edited	367	337	Split dense pipeline prose into sequential operations and removed judgment framing around location rules.
knowledge/glossary/contained-by-and-part-of.md	2	edited	314	304	Removed rhetorical introduction and shortened organ-system and precomputation explanations.
knowledge/glossary/contributor.md	2	edited	295	283	Simplified registry validation and JSONL support explanation.
knowledge/glossary/data-element.md	2	edited	349	318	Shortened sharing, draft-status, and terminology-conflict explanations.
knowledge/glossary/element-binding.md	2	edited	284	260	Removed unsupported safe-reuse rhetoric and hanging-property metaphor; preserved technical statements for separate factual review. Corrected the modality quotation’s subject against pinned CONTEXT.md: it describes the descriptor’s intrinsic limit.
knowledge/glossary/exam-finding-list.md	2	edited	335	323	Removed rhetorical requirements framing while preserving repeated-observation rule and provenance requirement.
knowledge/glossary/exam-type.md	2	edited	346	317	Shortened definition, scope explanation, proposal status, and missing-artifact inventory. Tightened its description and matching index entry.
knowledge/glossary/extraction.md	2	edited	383	308	Split schema and pipeline descriptions and shortened validator failure list while retaining each failure category.
knowledge/glossary/fhir-condition.md	2	edited	306	279	Shortened mapping and unimplemented-status explanations; retained IDR disagreement and all quotations.
knowledge/glossary/fhir-diagnostic-report.md	2	edited	303	280	Removed sample framing and shortened implementation-gap description.
knowledge/glossary/finding-class.md	2	edited	357	336	Removed blurred-node metaphor and shortened working-group decision and unsettled IDR difference.
knowledge/glossary/finding-model.md	2	edited	311	281	Removed extrapolation from the 2024 definition to the entire project lifetime and shortened definition-versus-instance explanation.
knowledge/glossary/finding-taxonomy.md	2	edited	366	354	Clarified name-key and parent fields and shortened taxonomy/model distinction. Tightened its description and matching index entry.
knowledge/glossary/fma.md	2	edited	231	213	Shortened cross-reference and classification introduction while retaining coverage counts and mappings.
knowledge/glossary/gamuts.md	2	edited	287	273	Removed role framing and content-spine metaphor; shortened unresolved cleanup status.
knowledge/glossary/imaging-diagnostic-report.md	2	edited	390	367	Shortened source framing and alignment-status explanation without changing IDR definitions or conflicts.
knowledge/glossary/imaging-persona.md	2	edited	241	203	Removed repeated unimplemented-status and knowledgebase self-description.
knowledge/glossary/imaging-problem-list.md	2	edited	390	332	Removed signature-structure rhetoric and shortened query, grouping, and reconciliation explanations.
knowledge/glossary/index-code.md	2	edited	322	316	Simplified field and crosswalk explanations and removed in-flight framing around the identified rewrite.
knowledge/glossary/index.md	2	edited			Read all 48 entries; shortened the introduction and synchronized seven tightened descriptions while preserving alphabetical links.
knowledge/glossary/laterality.md	2	edited	395	373	Removed repeated test introduction and shortened reversible-mapping requirement. Tightened its description and matching index entry.
knowledge/glossary/loinc-rsna-radiology-playbook.md	2	edited	307	292	Split roadmap proposal into concise sentences and removed historical throat-clearing.
knowledge/glossary/loinc.md	2	unchanged	287	287	Already compact: quoted specification requirements, code examples, identifier detection, and missing-curated-list caveat each provide distinct information.
knowledge/glossary/measurement.md	2	edited	290	234	Shortened node-type explanation, grouped-measurement example, and repeated model distinction.
knowledge/glossary/observation.md	2	edited	343	330	Replaced atomic-unit metaphor and removed lineage and terminology-collision framing.
knowledge/glossary/oidm-organization-code.md	2	unchanged	245	245	Already concise: generator behavior, registry mappings, all seven codes, five corpus counts, and namespace/provenance distinction are needed.
knowledge/glossary/oidm.md	2	edited	269	236	Shortened project definition and organization-code explanation; replaced inaccurate self-description about old-name placement with history link.
knowledge/glossary/oifm.md	2	edited	247	226	Shortened canonical-format and overloaded-acronym explanation without changing fields or identifier rules.
knowledge/glossary/open-imaging-reporting-sdk.md	2	edited	261	220	Removed centerpiece rhetoric, historical introduction, and repeated knowledgebase status assurances.
